                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    124,                0.52593,                0.31188,                 1.0375,                0.99771,                    0.5,                 0.4975,                 0.4333,                 0.6898,                0.39134,                 1.1475,             0.00074263,             0.00074263,             0.00074263
                    125,                0.52822,                0.31153,                 1.0408,                0.99944,                    0.5,                 0.4975,                0.43065,                0.66775,                0.36202,                 1.1359,              0.0007385,              0.0007385,              0.0007385
                    126,                0.51238,                0.31219,                 1.0309,                0.97165,                    0.5,                0.49584,                 0.4162,                 0.7001,                0.38836,                 1.1549,             0.00073437,             0.00073437,             0.00073437
                    127,                0.51942,                0.31287,                 1.0305,                0.98613,                 0.4902,                0.49357,                0.41788,                0.68573,                0.41673,                 1.1509,             0.00073025,             0.00073025,             0.00073025
                    128,                0.48725,                0.30552,                 1.0083,                0.98958,                    0.5,                 0.4974,                 0.4406,                0.62916,                0.37208,                 1.0971,             0.00072612,             0.00072612,             0.00072612
                    129,                0.49378,                0.30724,                  1.025,                0.99285,                 0.4902,                0.49697,                0.43582,                 0.6363,                  0.347,                 1.1067,               0.000722,               0.000722,               0.000722
                    130,                0.50631,                0.29921,                 1.0387,                0.99162,                 0.4902,                0.49731,                0.41979,                0.68959,                0.40979,                 1.1858,             0.00071788,             0.00071788,             0.00071788
                    131,                0.50911,                0.31931,                 1.0243,                0.98958,                    0.5,                 0.4974,                0.42687,                0.65604,                0.37247,                 1.1111,             0.00071375,             0.00071375,             0.00071375
                    132,                 0.5039,                0.31009,                 1.0188,                  0.999,                    0.5,                 0.4975,                0.43282,                0.61491,                0.33628,                 1.1039,             0.00070962,             0.00070962,             0.00070962
                    133,                 0.4939,                 0.2949,                 1.0227,                0.98998,                    0.5,                 0.4975,                0.43247,                0.62127,                 0.3272,                 1.1168,              0.0007055,              0.0007055,              0.0007055
                    134,                0.49276,                0.29149,                 1.0194,                0.99407,                    0.5,                 0.4975,                0.43091,                0.66691,                0.36485,                  1.124,             0.00070137,             0.00070137,             0.00070137
                    135,                 0.5053,                0.31335,                 1.0121,                0.99938,                    0.5,                 0.4975,                0.43338,                0.63227,                0.39316,                 1.0803,             0.00069725,             0.00069725,             0.00069725
